epoch,train_instance_acc,test_instance_acc,test_class_acc,best_instance_acc,best_class_acc,learning_rate,global_step
1,0.27263621794871795,0.37797619047619047,0.3666443784488274,0.37797619047619047,0.3666443784488274,0.001,312
2,0.5132211538461539,0.4037698412698413,0.38127921414298843,0.4037698412698413,0.38127921414298843,0.001,624
3,0.6702724358974359,0.7817460317460317,0.7677077064295579,0.7817460317460317,0.7677077064295579,0.001,936
4,0.772636217948718,0.6190476190476191,0.6065045134236989,0.7817460317460317,0.7677077064295579,0.001,1248
5,0.8183092948717948,0.8968253968253969,0.8963616911736494,0.8968253968253969,0.8963616911736494,0.001,1560
6,0.8483573717948718,0.9027777777777778,0.8944132830885552,0.9027777777777778,0.8963616911736494,0.001,1872
7,0.8675881410256411,0.8958333333333334,0.8947230318143902,0.9027777777777778,0.8963616911736494,0.001,2184
8,0.8695913461538461,0.9136904761904762,0.9125360035925482,0.9136904761904762,0.9125360035925482,0.001,2496
9,0.8814102564102564,0.9057539682539683,0.9056138711867867,0.9136904761904762,0.9125360035925482,0.001,2808
10,0.882011217948718,0.8958333333333334,0.8926836126027922,0.9136904761904762,0.9125360035925482,0.001,3120
11,0.8932291666666666,0.9206349206349206,0.917645037253634,0.9206349206349206,0.917645037253634,0.001,3432
12,0.8986378205128205,0.9226190476190477,0.9248935789391195,0.9226190476190477,0.9248935789391195,0.001,3744
13,0.9046474358974359,0.9464285714285714,0.9461497572714306,0.9464285714285714,0.9461497572714306,0.001,4056
14,0.9144631410256411,0.939484126984127,0.9391130685670204,0.9464285714285714,0.9461497572714306,0.001,4368
15,0.9118589743589743,0.941468253968254,0.9427119166088278,0.9464285714285714,0.9461497572714306,0.001,4680
16,0.9154647435897436,0.9464285714285714,0.9428839208783597,0.9464285714285714,0.9461497572714306,0.001,4992
17,0.9158653846153846,0.9454365079365079,0.9476707980532101,0.9464285714285714,0.9476707980532101,0.001,5304
18,0.9158653846153846,0.9325396825396826,0.9367889175839916,0.9464285714285714,0.9476707980532101,0.001,5616
19,0.9176682692307693,0.9573412698412699,0.9590082500576278,0.9573412698412699,0.9590082500576278,0.001,5928
20,0.9358974358974359,0.9513888888888888,0.9558335927158511,0.9573412698412699,0.9590082500576278,0.0007,6240
21,0.9407051282051282,0.9692460317460317,0.9685723260899071,0.9692460317460317,0.9685723260899071,0.0007,6552
22,0.938301282051282,0.9623015873015873,0.9650456954786307,0.9692460317460317,0.9685723260899071,0.0007,6864
23,0.938301282051282,0.9672619047619048,0.9664286016890571,0.9692460317460317,0.9685723260899071,0.0007,7176
24,0.9334935897435898,0.9573412698412699,0.9616093863315862,0.9692460317460317,0.9685723260899071,0.0007,7488
25,0.9491185897435898,0.9563492063492064,0.9587119053428946,0.9692460317460317,0.9685723260899071,0.0007,7800
26,0.9449118589743589,0.9642857142857143,0.9632929170545295,0.9692460317460317,0.9685723260899071,0.0007,8112
27,0.9573317307692307,0.9742063492063492,0.972527162431217,0.9742063492063492,0.972527162431217,0.0007,8424
28,0.9401041666666666,0.9623015873015873,0.962685255328158,0.9742063492063492,0.972527162431217,0.0007,8736
29,0.9453125,0.9583333333333334,0.9606509788637329,0.9742063492063492,0.972527162431217,0.0007,9048
30,0.9449118589743589,0.9781746031746031,0.9797901679557995,0.9781746031746031,0.9797901679557995,0.0007,9360
31,0.9477163461538461,0.9603174603174603,0.9623876592691503,0.9781746031746031,0.9797901679557995,0.0007,9672
32,0.9437099358974359,0.9603174603174603,0.9602327776953017,0.9781746031746031,0.9797901679557995,0.0007,9984
33,0.944511217948718,0.9811507936507936,0.9826088958231258,0.9811507936507936,0.9826088958231258,0.0007,10296
34,0.9517227564102564,0.9652777777777778,0.9606711398109844,0.9811507936507936,0.9826088958231258,0.0007,10608
35,0.9503205128205128,0.9801587301587301,0.9810548976268862,0.9811507936507936,0.9826088958231258,0.0007,10920
36,0.9509214743589743,0.9553571428571429,0.9590817989875303,0.9811507936507936,0.9826088958231258,0.0007,11232
37,0.9509214743589743,0.9603174603174603,0.9623385032774602,0.9811507936507936,0.9826088958231258,0.0007,11544
38,0.9545272435897436,0.9712301587301587,0.9747883899566665,0.9811507936507936,0.9826088958231258,0.0007,11856
39,0.9509214743589743,0.9771825396825397,0.9755307497318974,0.9811507936507936,0.9826088958231258,0.0007,12168
40,0.9609375,0.9771825396825397,0.9784641238464415,0.9811507936507936,0.9826088958231258,0.00049,12480
41,0.9603365384615384,0.9811507936507936,0.9787573851724793,0.9811507936507936,0.9826088958231258,0.00049,12792
42,0.967948717948718,0.9781746031746031,0.9778724346446971,0.9811507936507936,0.9826088958231258,0.00049,13104
43,0.9691506410256411,0.9692460317460317,0.9654386846718299,0.9811507936507936,0.9826088958231258,0.00049,13416
44,0.9657451923076923,0.9742063492063492,0.9755489012971952,0.9811507936507936,0.9826088958231258,0.00049,13728
45,0.9689503205128205,0.9821428571428571,0.9828322221435075,0.9821428571428571,0.9828322221435075,0.00049,14040
46,0.9671474358974359,0.9761904761904762,0.9774549769544694,0.9821428571428571,0.9828322221435075,0.00049,14352
47,0.9655448717948718,0.9821428571428571,0.9833769990265611,0.9821428571428571,0.9833769990265611,0.00049,14664
48,0.9677483974358975,0.9692460317460317,0.9719035070153096,0.9821428571428571,0.9833769990265611,0.00049,14976
49,0.9633413461538461,0.9732142857142857,0.9740686627166543,0.9821428571428571,0.9833769990265611,0.00049,15288
50,0.9723557692307693,0.9781746031746031,0.9769808868671127,0.9821428571428571,0.9833769990265611,0.00049,15600
51,0.9643429487179487,0.9781746031746031,0.9772282877896972,0.9821428571428571,0.9833769990265611,0.00049,15912
52,0.9681490384615384,0.9791666666666666,0.9791432624700626,0.9821428571428571,0.9833769990265611,0.00049,16224
53,0.9713541666666666,0.9821428571428571,0.9810406547349425,0.9821428571428571,0.9833769990265611,0.00049,16536
54,0.9673477564102564,0.9771825396825397,0.9766608800594797,0.9821428571428571,0.9833769990265611,0.00049,16848
55,0.9661458333333334,0.9761904761904762,0.9765488232613413,0.9821428571428571,0.9833769990265611,0.00049,17160
56,0.9663461538461539,0.9841269841269841,0.9861199743272501,0.9841269841269841,0.9861199743272501,0.00049,17472
57,0.9711538461538461,0.9791666666666666,0.9792217827315591,0.9841269841269841,0.9861199743272501,0.00049,17784
58,0.9681490384615384,0.9751984126984127,0.975645124468288,0.9841269841269841,0.9861199743272501,0.00049,18096
59,0.9717548076923077,0.9742063492063492,0.9749528852523042,0.9841269841269841,0.9861199743272501,0.00049,18408
60,0.9759615384615384,0.9831349206349206,0.9828337546957521,0.9841269841269841,0.9861199743272501,0.000343,18720
61,0.9781650641025641,0.9811507936507936,0.9802162909468741,0.9841269841269841,0.9861199743272501,0.000343,19032
62,0.9795673076923077,0.9821428571428571,0.9828212107487498,0.9841269841269841,0.9861199743272501,0.000343,19344
63,0.9789663461538461,0.9821428571428571,0.9843956007521314,0.9841269841269841,0.9861199743272501,0.000343,19656
64,0.9775641025641025,0.9771825396825397,0.9778775703047906,0.9841269841269841,0.9861199743272501,0.000343,19968
65,0.9741586538461539,0.9771825396825397,0.9792728869682492,0.9841269841269841,0.9861199743272501,0.000343,20280
66,0.9777644230769231,0.9801587301587301,0.9810830934322563,0.9841269841269841,0.9861199743272501,0.000343,20592
67,0.9761618589743589,0.9751984126984127,0.9736922049502988,0.9841269841269841,0.9861199743272501,0.000343,20904
68,0.9777644230769231,0.9702380952380952,0.9708536181232832,0.9841269841269841,0.9861199743272501,0.000343,21216
69,0.9791666666666666,0.9821428571428571,0.9811348789918583,0.9841269841269841,0.9861199743272501,0.000343,21528
70,0.9817708333333334,0.9861111111111112,0.9869723415466206,0.9861111111111112,0.9869723415466206,0.000343,21840
71,0.9785657051282052,0.9811507936507936,0.9836705128544574,0.9861111111111112,0.9869723415466206,0.000343,22152
72,0.9785657051282052,0.9791666666666666,0.9774534529250685,0.9861111111111112,0.9869723415466206,0.000343,22464
73,0.9759615384615384,0.9751984126984127,0.970393795799161,0.9861111111111112,0.9869723415466206,0.000343,22776
